,dim_partner_partner_id,dim_partner_partner_name,franchise_name,mall,business_type_name,cuisine,Limite de Prep Time,city,%slowdelivery,%vendorlate,%riderlate,avg_estimated_prep_time,avg_assumed_actual_prep_time,diff_estimacion,avg_at_vendor_time_cleaned,Orders,prep_time_mas_atvc,diff_limite_%,%_orders,partner_id,cambio_final_cateogry,CODE,DAY-RANGE,HOUR-RANGE,PREPARATION-BUFFER,PREPARATION-TIME,STRATEGY
73,499773,"pedro, juan y diego - mall plaza iquique","pedro, juan y diego",0,Restaurant,hamburguesas,15,Iquique,0.2676056338,20.00%,0.04411764706,13.32394366,14.31666667,0.9927230047,6.464179104,71,19.78812277,0.8882629108,0.01650778889,499773,categoria_2,499773,MONDAY-SUNDAY,0-23,1,7,OPS_PERMANENT
31,220084,papa john's pizza - hualpen,papa john's,0,Restaurant,pizzas,24,Concepcion,0.3108108108,20.90%,0.05633802817,20.98648649,20.75089286,-0.2355936293,4.956467662,74,25.94295415,0.8744369369,0.01720530109,220084,categoria_2,220084,MONDAY-SUNDAY,0-23,1,10,OPS_PERMANENT
2,49975,dunkin' apumanque,dunkin donuts,1,Restaurant,cafetería,14,Santiago,0.1,21.05%,0.05,16.45,18.81538462,2.365384615,5.627192982,20,22.07719298,1.175,0.004650081376,49975,categoria_2,49975,MONDAY-SUNDAY,0-23,1,8,OPS_PERMANENT
68,478699,mcdonald's calama,mcdonald's,0,Restaurant,hamburguesas,16,Calama,0.1324675325,21.15%,0.04210526316,14,15.15403691,1.154036909,5.857518116,385,19.85751812,0.875,0.0895140665,478699,categoria_2,478699,MONDAY-SUNDAY,0-23,1,7,OPS_PERMANENT
42,291016,papa john´s - coronel,papa john's,0,Restaurant,pizzas,24,Concepcion,0.3394495413,22.22%,0.0198019802,26.22018349,28.51014493,2.289961441,3.93984127,109,30.16002476,1.092507645,0.0253429435,291016,categoria_2,291016,MONDAY-SUNDAY,0-23,1,13,OPS_PERMANENT
80,517031,wok house - reñaca,no franchise,0,Restaurant,comida china,15,Vina del mar,0.2222222222,22.22%,0,29,34.73333333,5.733333333,5.622222222,9,34.62222222,1.933333333,0.002092536619,517031,categoria_2,517031,MONDAY-SUNDAY,0-23,1,14,OPS_PERMANENT
17,120974,pizza ninfa la serena,no franchise,0,Restaurant,pizzas,23,La serena,0.5444444444,22.78%,0.08139534884,27.72222222,30.84010417,3.117881944,5.753413655,90,33.47563588,1.20531401,0.02092536619,120974,categoria_2,120974,MONDAY-SUNDAY,0-23,1,14,OPS_PERMANENT
94,532873,wendy's eu gran avenida,wendy's,0,Restaurant,hamburguesas,19,Santiago,0.2820512821,23.53%,0.08108108108,23.28205128,26.12111111,2.839059829,6.658823529,39,29.94087481,1.22537112,0.009067658684,532873,categoria_2,532873,MONDAY-SUNDAY,0-23,1,12,OPS_PERMANENT
84,522481,kfc los alerces,kfc,0,Restaurant,pollo frito,15,Puerto montt,0.275862069,23.81%,0.1923076923,15.27586207,18.07539683,2.799534756,4.053968254,29,19.32983032,1.018390805,0.006742617996,522481,categoria_2,522481,MONDAY-SUNDAY,0-23,1,8,OPS_PERMANENT
58,422067,wendy´s gran avenida,wendy's,0,Restaurant,hamburguesas,19,Santiago,0.3197278912,24.06%,0.07638888889,24.07482993,26.89940476,2.82457483,6.141358025,147,30.21618796,1.267096312,0.03417809812,422067,categoria_2,422067,MONDAY-SUNDAY,0-23,1,12,OPS_PERMANENT
