,dim_partner_partner_id,dim_partner_partner_name,franchise_name,mall,business_type_name,cuisine,Limite de Prep Time,city,%slowdelivery,%vendorlate,%riderlate,avg_estimated_prep_time,avg_assumed_actual_prep_time,diff_estimacion,avg_at_vendor_time_cleaned,Orders,prep_time_mas_atvc,diff_limite_%,%_orders,partner_id,cambio_final_cateogry,CODE,DAY-RANGE,HOUR-RANGE,PREPARATION-BUFFER,PREPARATION-TIME,STRATEGY
88,526275,okinawa sushi - iquique,no franchise,0,Restaurant,sushi,40,Iquique,0.3846153846,8.33%,0.07692307692,29,27.48833333,-1.511666667,2.141666667,13,31.14166667,0.725,0.003022552895,526275,categoria_2,526275,MONDAY-SUNDAY,0-23,1,14,OPS_PERMANENT
8,67018,mcdonald's vespucio exterior,mcdonald's,1,Restaurant,hamburguesas,16,Santiago,0.06557377049,8.62%,0.04918032787,15.62295082,16.07808642,0.4551356001,2.773976608,61,18.39692743,0.9764344262,0.0141827482,67018,categoria_2,67018,MONDAY-SUNDAY,0-23,1,8,OPS_PERMANENT
26,161571,pollos vip - asados al carbón,no franchise,0,Restaurant,pollo asado,17,Santiago,0.8148148148,8.70%,0.1153846154,32.7037037,36.76956522,4.065861514,4.334027778,27,37.03773148,1.923747277,0.006277609858,161571,categoria_2,161571,MONDAY-SUNDAY,0-23,1,16,OPS_PERMANENT
71,496684,wendy's - petrobras puente alto,wendy's,0,Restaurant,hamburguesas,19,Santiago,0.12,8.82%,0.06849315068,21.86666667,23.41723164,1.550564972,3.985952381,75,25.85261905,1.150877193,0.01743780516,496684,categoria_2,496684,MONDAY-SUNDAY,0-23,1,11,OPS_PERMANENT
79,514436,el buen gusto - iquique,no franchise,0,Restaurant,comida casera,19,Iquique,0.625,9.09%,0.3125,22.4375,25.99615385,3.558653846,3.748484848,16,26.18598485,1.180921053,0.003720065101,514436,categoria_2,514436,MONDAY-SUNDAY,0-23,1,11,OPS_PERMANENT
86,523824,sushi blues - san borja,sushi blues,0,Restaurant,sushi,15,Santiago,0.2368421053,9.68%,0.1842105263,15.34210526,16.89247312,1.550367855,4.052150538,38,19.3942558,1.022807018,0.008835154615,523824,categoria_2,523824,MONDAY-SUNDAY,0-23,1,8,OPS_PERMANENT
19,134516,doggis mall el trébol,doggis,1,Restaurant,completos,20,Concepcion,0.1538461538,10.00%,0.1666666667,17.38461538,18.59166667,1.207051282,2.878787879,13,20.26340326,0.8692307692,0.003022552895,134516,categoria_2,134516,MONDAY-SUNDAY,0-23,1,9,OPS_PERMANENT
43,316068,papa johns pizza - iquique centro,papa john's,0,Restaurant,pizzas,24,Iquique,0.593495935,10.91%,0.09090909091,35.33333333,35.98181818,0.6484848485,3.193939394,123,38.52727273,1.472222222,0.02859800047,316068,categoria_2,316068,MONDAY-SUNDAY,0-23,1,18,OPS_PERMANENT
1,48599,shawarma el porvenir,local hero cl,0,Restaurant,comida árabe,20,Santiago,0.6,11.11%,0.1,28.2,32.86666667,4.666666667,5.638888889,10,33.83888889,1.41,0.002325040688,48599,categoria_2,48599,MONDAY-SUNDAY,0-23,1,14,OPS_PERMANENT
16,115154,little caesars pizza maipu,little caesar's,0,Restaurant,pizzas,14,Santiago,0.06451612903,11.11%,0.1195652174,12,12.51196581,0.511965812,2.920576132,93,14.92057613,0.8571428571,0.0216228784,115154,categoria_2,115154,MONDAY-SUNDAY,0-23,1,6,OPS_PERMANENT
63,443905,subway los trapenses,subway,0,Restaurant,sándwiches,11,Santiago,0.1666666667,11.11%,0.25,13,16.92666667,3.926666667,3.318518519,12,16.31851852,1.181818182,0.002790048826,443905,categoria_2,443905,MONDAY-SUNDAY,0-23,1,6,OPS_PERMANENT
87,524945,buffalo waffles - mall plaza antofagasta,buffalo waffles,0,Restaurant,postres y tortas,13,Antofagasta,0,11.11%,0,16.6,21.24722222,4.647222222,4.228333333,10,20.82833333,1.276923077,0.002325040688,524945,categoria_3,524945,MONDAY-SUNDAY,0-23,1,8,OPS_PERMANENT
33,223682,lonkai sushi,lonkai,0,Restaurant,sushi,33,Puerto montt,0.6363636364,12.50%,0.2,35.18181818,36.91333333,1.731515152,2.566666667,11,37.74848485,1.066115702,0.002557544757,223682,categoria_2,223682,MONDAY-SUNDAY,0-23,1,18,OPS_PERMANENT
